"id","service","category","trigger","condition","if_action","else_action","severity","source_doc"
"FS-0380","steel","st_capture","Agent calls /scrape quick action (content extraction)","Playwright saves page as PDF (page.pdf)","Use Playwright page.pdf for full page PDF","Page on-call; do not run quick actions on every page (cost explosive)","low","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/llms-full.txt"
"FS-0381","steel","st_capture","Agent calls /scrape quick action (content extraction)","Playwright downloads a file (page.on('download'))","Use Playwright download event (page.on('download')) for files","Page on-call; do not run quick actions on every page (cost explosive)","low","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/llms-full.txt"
"FS-0382","steel","st_capture","Agent calls /scrape quick action (content extraction)","Playwright fills a form (page.fill / page.click / page.press)","Use Playwright page.fill / click / press for forms","Page on-call; do not run quick actions on every page (cost explosive)","low","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/llms-full.txt"
"FS-0383","steel","st_capture","Agent calls /scrape quick action (content extraction)","Playwright intercepts network (page.route)","Use Playwright page.route for network interception","Page on-call; do not run quick actions on every page (cost explosive)","low","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/llms-full.txt"
"FS-0384","steel","st_capture","Agent calls /scrape quick action (content extraction)","Playwright scrapes via page.evaluate (extract DOM data)","Use Playwright page.evaluate for custom DOM extraction","Page on-call; do not run quick actions on every page (cost explosive)","low","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/llms-full.txt"
"FS-0385","steel","st_capture","Agent calls /scrape quick action (content extraction)","CDP websocket disconnects mid-session (Playwright reconnect needed)","Reconnect Playwright on CDP websocket disconnect (driver.relaunch)","Page on-call; do not run quick actions on every page (cost explosive)","low","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/llms-full.txt"
"FS-0386","steel","st_capture","Agent calls /screenshot quick action (page capture)","agent calls /scrape quick action (content extraction)","Use /screenshot quick action (page capture)","Page on-call; do not run quick actions on every page (cost explosive)","low","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/llms-full.txt"
"FS-0387","steel","st_capture","Agent calls /screenshot quick action (page capture)","agent calls /screenshot quick action (page capture)","Use /pdf quick action (page-to-PDF)","Page on-call; do not run quick actions on every page (cost explosive)","low","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/llms-full.txt"
"FS-0388","steel","st_capture","Agent calls /screenshot quick action (page capture)","agent calls /pdf quick action (save as PDF)","Track quick-action cost ($5/1k on Launch/Scale)","Page on-call; do not run quick actions on every page (cost explosive)","low","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/llms-full.txt"
"FS-0389","steel","st_capture","Agent calls /screenshot quick action (page capture)","quick action quota remaining ($5/1k on Launch/Scale)","Stop on quota exceeded; surface to operator","Page on-call; do not run quick actions on every page (cost explosive)","low","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/llms-full.txt"
"FS-0390","steel","st_capture","Agent calls /screenshot quick action (page capture)","quick action quota exceeded","Use Playwright page.screenshot for custom viewport / clip","Page on-call; do not run quick actions on every page (cost explosive)","low","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/llms-full.txt"
"FS-0391","steel","st_capture","Agent calls /screenshot quick action (page capture)","Playwright takes screenshot manually (page.screenshot)","Use Playwright page.pdf for full page PDF","Page on-call; do not run quick actions on every page (cost explosive)","low","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/llms-full.txt"
"FS-0392","steel","st_capture","Agent calls /screenshot quick action (page capture)","Playwright saves page as PDF (page.pdf)","Use Playwright download event (page.on('download')) for files","Page on-call; do not run quick actions on every page (cost explosive)","low","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/llms-full.txt"
"FS-0393","steel","st_capture","Agent calls /screenshot quick action (page capture)","Playwright downloads a file (page.on('download'))","Use Playwright page.fill / click / press for forms","Page on-call; do not run quick actions on every page (cost explosive)","low","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/llms-full.txt"
"FS-0394","steel","st_capture","Agent calls /screenshot quick action (page capture)","Playwright fills a form (page.fill / page.click / page.press)","Use Playwright page.route for network interception","Page on-call; do not run quick actions on every page (cost explosive)","low","docs.steel.dev/overview/sessions-api/quickstart; docs.steel.dev/llms-full.txt"
"FS-0395","steel","st_region","Session is auto-routed to closest region (default)","region unset (auto-route to closest)","Auto-route to closest region (default)","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0396","steel","st_region","Session is auto-routed to closest region (default)","region == 'LAX' (Los Angeles)","Pin region=LAX (Los Angeles)","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0397","steel","st_region","Session is auto-routed to closest region (default)","region == 'IAD' (Washington DC)","Pin region=IAD (Washington DC)","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0398","steel","st_region","Session is auto-routed to closest region (default)","region requested but unavailable (capacity)","Surface region unavailable (capacity) - try a different region","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0399","steel","st_region","Session is auto-routed to closest region (default)","data residency requirement: must be in EU (not yet supported)","Use dedicated IP / private deployment for EU residency (not in default plan)","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0400","steel","st_region","Session is pinned to LAX (Los Angeles)","region unset (auto-route to closest)","Pin region=LAX (Los Angeles)","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0401","steel","st_region","Session is pinned to LAX (Los Angeles)","region == 'LAX' (Los Angeles)","Pin region=IAD (Washington DC)","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0402","steel","st_region","Session is pinned to LAX (Los Angeles)","region == 'IAD' (Washington DC)","Surface region unavailable (capacity) - try a different region","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0403","steel","st_region","Session is pinned to LAX (Los Angeles)","region requested but unavailable (capacity)","Use dedicated IP / private deployment for EU residency (not in default plan)","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0404","steel","st_region","Session is pinned to LAX (Los Angeles)","data residency requirement: must be in EU (not yet supported)","Auto-route to closest region (default)","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0405","steel","st_region","Session is pinned to IAD (Washington DC)","region unset (auto-route to closest)","Pin region=IAD (Washington DC)","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0406","steel","st_region","Session is pinned to IAD (Washington DC)","region == 'LAX' (Los Angeles)","Surface region unavailable (capacity) - try a different region","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0407","steel","st_region","Session is pinned to IAD (Washington DC)","region == 'IAD' (Washington DC)","Use dedicated IP / private deployment for EU residency (not in default plan)","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0408","steel","st_region","Session is pinned to IAD (Washington DC)","region requested but unavailable (capacity)","Auto-route to closest region (default)","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0409","steel","st_region","Session is pinned to IAD (Washington DC)","data residency requirement: must be in EU (not yet supported)","Pin region=LAX (Los Angeles)","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0410","steel","st_region","Region is requested but unavailable (capacity)","region unset (auto-route to closest)","Surface region unavailable (capacity) - try a different region","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0411","steel","st_region","Region is requested but unavailable (capacity)","region == 'LAX' (Los Angeles)","Use dedicated IP / private deployment for EU residency (not in default plan)","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0412","steel","st_region","Region is requested but unavailable (capacity)","region == 'IAD' (Washington DC)","Auto-route to closest region (default)","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0413","steel","st_region","Region is requested but unavailable (capacity)","region requested but unavailable (capacity)","Pin region=LAX (Los Angeles)","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0414","steel","st_region","Region is requested but unavailable (capacity)","data residency requirement: must be in EU (not yet supported)","Pin region=IAD (Washington DC)","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0415","steel","st_region","Data residency requirement: session must be in EU (not yet supported)","region unset (auto-route to closest)","Use dedicated IP / private deployment for EU residency (not in default plan)","Page on-call; do not silently fall back to a different region without operator consent (data residency)","low","docs.steel.dev/overview/sessions-api/multi-region"
"FS-0416","steel","st_errors","API key missing / invalid (401)","API key missing / invalid (401)","Mark 'success'; release session if needed","Page on-call; capture error + session state; require human triage for unknown errors","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0417","steel","st_errors","API key missing / invalid (401)","API key lacks permissions (403)","Re-auth with valid API key; surface to operator","Do not bypass rate limits by switching keys (will be caught)","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0418","steel","st_errors","API key missing / invalid (401)","rate limit hit (429) - throttle on concurrent browsers + monthly hours","Surface 403 (permissions) to operator; check key role","Page on-call; capture error + session state; require human triage for unknown errors","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0419","steel","st_errors","API key missing / invalid (401)","concurrent session limit hit (Launch 10, Scale 100, Enterprise 1000+)","Back off on 429 (per docs - exponential with jitter, honor Retry-After)","Do not bypass rate limits by switching keys (will be caught)","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0420","steel","st_errors","API key missing / invalid (401)","monthly browser hours exhausted (Launch $30 / Scale $100 / Enterprise custom)","Wait for in-flight sessions to finish on concurrent limit","Page on-call; capture error + session state; require human triage for unknown errors","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0421","steel","st_errors","API key missing / invalid (401)","proxy bandwidth exhausted (overage billable)","Wait for billing cycle / upgrade plan on monthly hours exhausted","Do not bypass rate limits by switching keys (will be caught)","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0422","steel","st_errors","API key missing / invalid (401)","captcha solve quota exhausted (overage billable)","Track proxy bandwidth; stop on overage (or accept billable overage)","Page on-call; capture error + session state; require human triage for unknown errors","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0423","steel","st_errors","API key missing / invalid (401)","max session time hit (Launch 15m / Scale 1h / Enterprise 24h)","Track captcha solve quota; stop on overage","Do not bypass rate limits by switching keys (will be caught)","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0424","steel","st_errors","API key missing / invalid (401)","network connectivity to Steel servers (firewall, DNS)","Re-create session if max time hit; design for resume / idempotency","Page on-call; capture error + session state; require human triage for unknown errors","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0425","steel","st_errors","API key missing / invalid (401)","CDP websocket disconnects mid-session","Diagnose network (firewall, DNS) - check egress to *.steel.dev","Do not bypass rate limits by switching keys (will be caught)","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0426","steel","st_errors","API key missing / invalid (401)","Playwright / Puppeteer / Selenium library version mismatch","Reconnect Playwright on CDP disconnect; driver.relaunch","Page on-call; capture error + session state; require human triage for unknown errors","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0427","steel","st_errors","API key missing / invalid (401)","profile upload failed (size > 300MB, malformed)","Lock Playwright / Puppeteer / Selenium to a tested version","Do not bypass rate limits by switching keys (will be caught)","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0428","steel","st_errors","API key missing / invalid (401)","region parameter invalid (typo)","Recreate profile with smaller user data dir if upload > 300MB","Page on-call; capture error + session state; require human triage for unknown errors","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0429","steel","st_errors","API key missing / invalid (401)","data retention hit (Launch 7d, Scale 14d, Enterprise custom)","Validate region parameter (typo = 4xx)","Do not bypass rate limits by switching keys (will be caught)","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0430","steel","st_errors","API key missing / invalid (401)","Retry-After header present (seconds to wait)","Export data within data retention window (Launch 7d / Scale 14d)","Page on-call; capture error + session state; require human triage for unknown errors","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0431","steel","st_errors","API key lacks permissions (403)","API key missing / invalid (401)","Re-auth with valid API key; surface to operator","Page on-call; capture error + session state; require human triage for unknown errors","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0432","steel","st_errors","API key lacks permissions (403)","API key lacks permissions (403)","Surface 403 (permissions) to operator; check key role","Do not bypass rate limits by switching keys (will be caught)","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0433","steel","st_errors","API key lacks permissions (403)","rate limit hit (429) - throttle on concurrent browsers + monthly hours","Back off on 429 (per docs - exponential with jitter, honor Retry-After)","Page on-call; capture error + session state; require human triage for unknown errors","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0434","steel","st_errors","API key lacks permissions (403)","concurrent session limit hit (Launch 10, Scale 100, Enterprise 1000+)","Wait for in-flight sessions to finish on concurrent limit","Do not bypass rate limits by switching keys (will be caught)","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0435","steel","st_errors","API key lacks permissions (403)","monthly browser hours exhausted (Launch $30 / Scale $100 / Enterprise custom)","Wait for billing cycle / upgrade plan on monthly hours exhausted","Page on-call; capture error + session state; require human triage for unknown errors","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0436","steel","st_errors","API key lacks permissions (403)","proxy bandwidth exhausted (overage billable)","Track proxy bandwidth; stop on overage (or accept billable overage)","Do not bypass rate limits by switching keys (will be caught)","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0437","steel","st_errors","API key lacks permissions (403)","captcha solve quota exhausted (overage billable)","Track captcha solve quota; stop on overage","Page on-call; capture error + session state; require human triage for unknown errors","high","docs.steel.dev/overview/pricinglimits; apis.io/rate-limits/steel-dev/steel-dev-rate-limits; steel.dev/blog/beginner-s-guide-to-steel"
"FS-0438","joint","pipeline","Agent uses Firecrawl search to find candidate URLs","Firecrawl search returns 5 candidate URLs","Use Firecrawl search → scrape as cheap fast path","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0439","joint","pipeline","Agent uses Firecrawl search to find candidate URLs","Firecrawl search returns 0 candidates (fall back to map or seed URLs)","Use Firecrawl map → scrape to discover URLs on a site","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0440","joint","pipeline","Agent uses Firecrawl search to find candidate URLs","Firecrawl scrape returns 401/403/500 on a URL (anti-bot) - escalate to Steel","Escalate to Steel when Firecrawl hits anti-bot (401/403/500)","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0441","joint","pipeline","Agent uses Firecrawl search to find candidate URLs","Firecrawl scrape times out on JS-rendered SPA (escalate to Steel with wait_for)","Escalate to Steel when Firecrawl times out on JS-heavy SPA","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0442","joint","pipeline","Agent uses Firecrawl search to find candidate URLs","Firecrawl scrape blocked by login wall (escalate to Steel profile with auth)","Escalate to Steel when Firecrawl blocked by login wall (use profile with auth cookies)","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0443","joint","pipeline","Agent uses Firecrawl search to find candidate URLs","Steel session returns HTML for a login-walled page","Hand Steel HTML output to Firecrawl for structured extraction","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0444","joint","pipeline","Agent uses Firecrawl search to find candidate URLs","Steel session returns HTML, agent hands to Firecrawl for structured extraction","Use Firecrawl batch scrape for fan-out, Steel for interactive subset","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0445","joint","pipeline","Agent uses Firecrawl search to find candidate URLs","Firecrawl batch scrape fans out URLs, Steel handles the interactive subset","On Firecrawl 'changed' event, re-open in Steel and verify","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0446","joint","pipeline","Agent uses Firecrawl search to find candidate URLs","Firecrawl change-tracking fires 'changed' event, Steel re-captures new state","On Firecrawl monitor 'new' result, open in Steel and verify","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0447","joint","pipeline","Agent uses Firecrawl search to find candidate URLs","Firecrawl monitor (web search mode) fires new result, Steel opens and verifies","Enforce joint cost guardrail (Firecrawl credits + Steel browser hours)","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0448","joint","pipeline","Agent uses Firecrawl search to find candidate URLs","Both Firecrawl and Steel budget caps are in play (cost guardrail)","Escalate cascading empty results to operator (manual investigation)","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0449","joint","pipeline","Agent uses Firecrawl search to find candidate URLs","Both return empty results (cascading failure - escalate to operator)","Use Firecrawl search → scrape as cheap fast path","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0450","joint","pipeline","Agent passes Firecrawl search results into Steel for deep interaction (login walls)","Firecrawl search returns 5 candidate URLs","Use Firecrawl map → scrape to discover URLs on a site","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0451","joint","pipeline","Agent passes Firecrawl search results into Steel for deep interaction (login walls)","Firecrawl search returns 0 candidates (fall back to map or seed URLs)","Escalate to Steel when Firecrawl hits anti-bot (401/403/500)","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0452","joint","pipeline","Agent passes Firecrawl search results into Steel for deep interaction (login walls)","Firecrawl scrape returns 401/403/500 on a URL (anti-bot) - escalate to Steel","Escalate to Steel when Firecrawl times out on JS-heavy SPA","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0453","joint","pipeline","Agent passes Firecrawl search results into Steel for deep interaction (login walls)","Firecrawl scrape times out on JS-rendered SPA (escalate to Steel with wait_for)","Escalate to Steel when Firecrawl blocked by login wall (use profile with auth cookies)","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0454","joint","pipeline","Agent passes Firecrawl search results into Steel for deep interaction (login walls)","Firecrawl scrape blocked by login wall (escalate to Steel profile with auth)","Hand Steel HTML output to Firecrawl for structured extraction","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0455","joint","pipeline","Agent passes Firecrawl search results into Steel for deep interaction (login walls)","Steel session returns HTML for a login-walled page","Use Firecrawl batch scrape for fan-out, Steel for interactive subset","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0456","joint","pipeline","Agent passes Firecrawl search results into Steel for deep interaction (login walls)","Steel session returns HTML, agent hands to Firecrawl for structured extraction","On Firecrawl 'changed' event, re-open in Steel and verify","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0457","joint","pipeline","Agent passes Firecrawl search results into Steel for deep interaction (login walls)","Firecrawl batch scrape fans out URLs, Steel handles the interactive subset","On Firecrawl monitor 'new' result, open in Steel and verify","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0458","joint","pipeline","Agent passes Firecrawl search results into Steel for deep interaction (login walls)","Firecrawl change-tracking fires 'changed' event, Steel re-captures new state","Enforce joint cost guardrail (Firecrawl credits + Steel browser hours)","Page on-call; do not silently degrade Firecrawl → Steel → operator (escalate each transition)","high","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt; firecrawl.dev/scrape"
"FS-0459","joint","agent","Agent LLM hallucinates a non-existent endpoint (e.g. /v3/scrape)","agent LLM hallucinates a non-existent endpoint (e.g. /v3/scrape) - 404","Use only canonical endpoints (/v2/scrape, /v2/crawl, /v2/map, /v2/search, /v2/extract, /v2/batch/scrape, /v2/agent)","Page on-call; do not let agent retry a 4xx blindly (likely a tool bug)","medium","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt"
"FS-0460","joint","agent","Agent LLM hallucinates a non-existent endpoint (e.g. /v3/scrape)","agent LLM produces invalid params (wrong types, missing required fields) - 422","Validate params client-side (avoid 422)","Block agent loop after N calls; require operator reset","medium","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt"
"FS-0461","joint","agent","Agent LLM hallucinates a non-existent endpoint (e.g. /v3/scrape)","agent LLM exceeds context window (truncate markdown response)","Truncate / chunk markdown if response too long for context","Page on-call; do not let agent retry a 4xx blindly (likely a tool bug)","medium","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt"
"FS-0462","joint","agent","Agent LLM hallucinates a non-existent endpoint (e.g. /v3/scrape)","agent LLM picks wrong tool (search vs scrape vs map)","Pick cheapest tool: search → map → scrape → batch scrape → crawl → agent","Block agent loop after N calls; require operator reset","medium","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt"
"FS-0463","joint","agent","Agent LLM hallucinates a non-existent endpoint (e.g. /v3/scrape)","agent LLM loops on same call (runaway cost)","Cap tool call count per turn (cost runaway guard)","Page on-call; do not let agent retry a 4xx blindly (likely a tool bug)","medium","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt"
"FS-0464","joint","agent","Agent LLM hallucinates a non-existent endpoint (e.g. /v3/scrape)","agent LLM passes PII in URL query (logged at Firecrawl / Steel)","Redact PII from URL queries (privacy)","Block agent loop after N calls; require operator reset","medium","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt"
"FS-0465","joint","agent","Agent LLM hallucinates a non-existent endpoint (e.g. /v3/scrape)","agent requests stealth unnecessarily (cost waste - 5 credits vs 1)","Use proxy='auto' by default; only 'stealth' for known hard sites","Page on-call; do not let agent retry a 4xx blindly (likely a tool bug)","medium","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt"
"FS-0466","joint","agent","Agent LLM hallucinates a non-existent endpoint (e.g. /v3/scrape)","agent forgets to release Steel session (cost waste until timeout)","Always release Steel session explicitly (cost guardrail)","Block agent loop after N calls; require operator reset","medium","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt"
"FS-0467","joint","agent","Agent LLM hallucinates a non-existent endpoint (e.g. /v3/scrape)","agent issues too many concurrent scrapes (concurrency limit)","Limit concurrent scrapes to plan concurrency (avoid 429)","Page on-call; do not let agent retry a 4xx blindly (likely a tool bug)","medium","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt"
"FS-0468","joint","agent","Agent LLM hallucinates a non-existent endpoint (e.g. /v3/scrape)","agent uses wrong region for target site (latency / wrong content)","Auto-route region for target site (geo-aware)","Block agent loop after N calls; require operator reset","medium","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt"
"FS-0469","joint","agent","Agent LLM produces invalid params (wrong types, missing required fields)","agent LLM hallucinates a non-existent endpoint (e.g. /v3/scrape) - 404","Validate params client-side (avoid 422)","Page on-call; do not let agent retry a 4xx blindly (likely a tool bug)","medium","docs.firecrawl.dev/api-reference/introduction; docs.steel.dev/llms-full.txt"
